Date|Open|High|Low|Close|Volume|Market Cap
Sep 09, 2016|0.117887|0.226763|0.116219|0.155027|202,028|328,565
Sep 08, 2016|0.127399|0.128239|0.116046|0.117918|16,655|355,076
Sep 07, 2016|0.134428|0.135188|0.117551|0.127399|21,903|374,666
Sep 06, 2016|0.162939|0.162939|0.113767|0.134352|44,475|454,130
Sep 05, 2016|0.141040|0.193249|0.135713|0.161676|56,605|393,095
Sep 04, 2016|0.185601|0.193394|0.132616|0.141330|55,290|517,291
Sep 03, 2016|0.234705|0.247490|0.178080|0.185509|188,065|654,150
Sep 02, 2016|0.388190|0.399667|0.210924|0.231509|786,804|1,081,930
Sep 01, 2016|0.108396|0.424294|0.100888|0.402831|1,023,160|921,949
Aug 31, 2016|0.020555|0.154910|0.020519|0.104983|19,600|174,831
Aug 30, 2016|0.018953|0.022232|0.016793|0.020551|2,065|161,206
Aug 29, 2016|0.020716|0.024222|0.017399|0.018953|10,143|176,196
Aug 28, 2016|0.019295|0.021958|0.018786|0.020715|1,237|164,114
Aug 27, 2016|0.021821|0.022750|0.018383|0.019303|2,968|185,595
Aug 26, 2016|0.022403|0.023143|0.018237|0.021818|2,907|190,548
Aug 25, 2016|0.021944|0.024958|0.017986|0.022406|13,281|186,646
Aug 24, 2016|0.024559|0.027279|0.021652|0.021940|21,664|208,879
Aug 23, 2016|0.020344|0.026326|0.015135|0.022547|18,229|173,031
Aug 22, 2016|0.022356|0.023803|0.018015|0.020347|3,378|190,146
Aug 21, 2016|0.024641|0.026144|0.021888|0.022360|17,759|209,578
Aug 20, 2016|0.023300|0.028447|0.020566|0.025484|30,778|198,175
Aug 19, 2016|0.014653|0.029059|0.014653|0.022916|43,105|124,631
Aug 18, 2016|0.015404|0.016372|0.014637|0.014650|2,086|131,020
Aug 17, 2016|0.015907|0.016402|0.015358|0.015408|1,213|135,296
Aug 16, 2016|0.015408|0.016067|0.015257|0.015905|656|131,053
Aug 15, 2016|0.016635|0.016650|0.014897|0.015427|3,112|141,490
Aug 14, 2016|0.019272|0.019628|0.016512|0.016647|2,105|163,915
Aug 13, 2016|0.020072|0.022683|0.018631|0.018634|11,794|170,716
Aug 12, 2016|0.013327|0.031749|0.013311|0.020074|71,030|113,351
Aug 11, 2016|0.012658|0.013680|0.012562|0.013332|1,602|107,658
Aug 10, 2016|0.012734|0.013509|0.012193|0.012669|2,201|108,304
Aug 09, 2016|0.013192|0.014091|0.012445|0.012738|3,289|112,201
